CAS Registry No. (or other ID),Substance,Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg01,Reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17,reg18,reg19,reg20,reg21,Reg prohibited189,regs Labeling-Standards,Other Names,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10,SYN11,SYN12,SYN13,SYN14,SYN15,SYN16,SYN17,SYN18,SYN19
62-33-9," EDTA, CALCIUM DISODIUM",73.1,,,,,,172.12,172.135,175.105,176.17,,,,,,,,,,,,,,,,,,," 155.200 ,  155.201 ,  161.173 ,  166.110 ,  169.115 ,  169.140 ,  169.150", CALCIUM DISODIUM ETHYLENEDIAMINETETRAACETATE, CALCIUM DISODIUM EDTA, CALCIUM DISODIUM EDATHAMIL, DISODIUM CALCIUM EDTA, CALCIUM DISODIUM EDETATE," CALCIATE(2-), ((N,N'-1,2-ETHANEDIYLBIS(N-(CARBOXYMETHYL)GLYCINATO))(4-)-N,N',O,O',ON,ON'), DISODIUM, (OC-6-21)-"," CALCIATE(2-), ((ETHYLENEDINITRILO)TETRAACETATO)-, DISODIUM", DISODIUM ((ETHYLENEDINITRILO)TETRAACETATO)CALCIATE, EDETATE CALCIUM DISODIUM, CALCIUM DISODIUM (ETHYLENEDINITRILO)TETRAACETATE, EDTA CALCIUM DISODIUM SALT, EDTA DISODIUM CALCIUM SALT,,,,,,,,
7681-49-4, SODIUM FLUORIDE,,,,,,,175.105,177.28,,,,,,,,,,,,,,,,,,,,,, SODIUM FLUORIDE, SODIUM FLUORIDE (NAF),,,,,,,,,,,,,,,,,,
70-55-3," TOLUENESULFONAMIDE, P-",,,,,,,175.105,177.226,,,,,,,,,,,,,,,,,,,,,," TOLUENESULFONAMIDE, P-"," BENZENESULFONAMIDE, 4-METHYL-", P-TOLUENESULFONAMIDE, 4-METHYLBENZENESULFONAMIDE,,,,,,,,,,,,,,,,
108-90-7, CHLOROBENZENE,,,,,,,175.105,177.158,177.1655,,,,,,,,,,,,,,,,,,,,, CHLOROBENZENE, MONOCHLOROBENZENE," BENZENE, CHLORO-", PHENYL CHLORIDE,,,,,,,,,,,,,,,,
123-03-5, CETYLPYRIDINIUM CHLORIDE,,,,,,,173.375,,,,,,,,,,,,,,,,,,,,,,, CETYLPYRIDINIUM CHLORIDE," PYRIDINIUM, 1-HEXADECYL-, CHLORIDE", N-CETYLPYRIDINIUM CHLORIDE, N-HEXADECYLPYRIDINIUM CHLORIDE, 1-HEXADECYLPYRIDINIUM CHLORIDE, 1-palmitylpyridinium chloride,,,,,,,,,,,,,,
93-35-6, UMBELLIFERONE,,,,,,,175.105,,,,,,,,,,,,,,,,,,,,,,, UMBELLIFERONE, 7-HYDROXYCOUMARIN, 7-OXYCOUMARIN, HYDRANGINE," 2H-1-BENZOPYRAN-2-ONE, 7-HYDROXY-", 7-HYDROXY-2H-1-BENZOPYRAN-2-ONE," COUMARIN, 7-HYDROXY-",,,,,,,,,,,,,
500-38-9, NORDIHYDROGUAIARETIC ACID--PROHIBITED WITH EXCEPTIONS,,,,,,,175.3,177.101,181.24,,,,,,,,,,,,,,,,,,,189.165,, NORDIHYDROGUAIARETIC ACID, DIHYDRONORGUAIARETIC ACID, NDGA, NORHYDROGUAIARETIC ACID," PYROCATECHOL, 4,4'-(2,3-DIMETHYLTETRAMETHYLENE)DI-"," 2,3-DIMETHYL-1,4-BIS(3,4-DIHYDROXYPHENYL)BUTANE"," 1,2-BENZENEDIOL, 4,4'-(2,3-DIMETHYL-1,4-BUTANEDIYL)BIS-"," 4,4'-(2,3-DIMETHYLTETRAMETHYLENE)DIPYROCATECHOL"," 4,4'-(2,3-DIMETHYL-1,4-BUTANEDIYL)BIS(1,2-BENZENEDIOL)",,,,,,,,,,,
77-93-0, TRIETHYL CITRATE,,,,,,,175.3,175.32,181.27,,,,,,,,,,,,,,,,,,,,, TRIETHYL CITRATE, ETHYL CITRATE," TRIETHYL 2-HYDROXY-1,2,3-PROPANETRICARBOXYLATE"," 1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, TRIETHYL ESTER"," CITRIC ACID, TRIETHYL ESTER",,,,,,,,,,,,,,,
2443-39-2," 9,10-EPOXYSTEARIC ACID",,,,,,,178.34,,,,,,,,,,,,,,,,,,,,,,," 9,10-EPOXYSTEARIC ACID", EPOXIDIZED OLEIC ACID," OLEIC ACID, OXIDIZED", OLEIC ACID EPOXIDE," OXIRANEOCTANOIC ACID, 3-OCTYL-"," OCTADECANOIC ACID, 9,10-EPOXY-", 3-OCTYLOXIRANEOCTANOIC ACID,,,,,,,,,,,,,
1806-26-4," OCTYLPHENOL, P-",,,,,,,175.3,177.241,,,,,,,,,,,,,,,,,,,,,, 4-OCTYLPHENOL," OCTYLPHENOL, P-"," PHENOL, 4-OCTYL-"," PHENOL, P-OCTYL-",,,,,,,,,,,,,,,,
110-44-1, SORBIC ACID,,,,,,,172.872,177.226,181.23,182.3089,,,,,,,,,,,,,,,,,,," 133.118 ,  133.123 ,  133.124 ,  133.169 ,  133.173 ,  133.179 ,  133.187 ,  133.188 ,  166.110", SORBIC ACID," 2,4-HEXADIENOIC ACID, (2E,4E)-"," 1,3-PENTADIENE-1-CARBOXYLIC ACID, (E,E)-"," 2,4-HEXADIENOIC ACID, (E,E)-",,,,,,,,,,,,,,,,
7758-11-4, DIPOTASSIUM PHOSPHATE,73.85,,,,,,175.105,182.6285,,,,,,,,,,,,,,,,,,,,," 133.169 ,  133.173 ,  133.179"," POTASSIUM PHOSPHATE, DIBASIC", DIPOTASSIUM PHOSPHATE, DIPOTASSIUM HYDROGEN PHOSPHATE, DIPOTASSIUM MONOPHOSPHATE, DIPOTASSIUM ORTHOPHOSPHATE, POTASSIUM MONOPHOSPHATE, POTASSIUM MONOHYDROGEN PHOSPHATE," PHOSPHORIC ACID, DIPOTASSIUM SALT",,,,,,,,,,,,
106-46-7, P-DICHLOROBENZENE,,,,,,,177.249,,,,,,,,,,,,,,,,,,,,,,," DICHLOROBENZENE, P-"," 1,4-DICHLOROBENZENE"," BENZENE, 1,4-DICHLORO-"," BENZENE, P-DICHLORO-",,,,,,,,,,,,,,,,
75-12-7, FORMAMIDE,,,,,,,175.105,,,,,,,,,,,,,,,,,,,,,,, FORMAMIDE, CARBAMALDEHYDE, FORMIMIDIC ACID, METHANAMIDE,,,,,,,,,,,,,,,,
499-83-2," 2,6-PYRIDINEDICARBOXYLIC ACID",,,,,,,178.101,,,,,,,,,,,,,,,,,,,,,,," 2,6-PYRIDINEDICARBOXYLIC ACID", DPAC," 2,6-DICARBOXYPYRIDINE"," 2,6-DIPICOLINIC ACID", 6-CARBOXYPICOLINIC ACID,,,,,,,,,,,,,,,
306-52-5, TRI-BETA-CHLOROETHYLPHOSPHATE,,,,,,,175.105,,,,,,,,,,,,,,,,,,,,,,, TRICLOFOS, TRICHLOROETHYL PHOSPHATE, TRI-BETA-CHLOROETHYL PHOSPHATE," ETHANOL, 2,2,2-TRICHLORO-, DIHYDROGEN PHOSPHATE"," 2,2,2-TRICHLOROETHANOL DIHYDROGEN PHOSPHATE"," BETA,BETA,BETA-TRICHLOROETHYL PHOSPHATE"," 2,,2,2-TRICHLOROETHYL PHOSPHATE", TRICHLOROETHANOL 1-PHOSPHATE, TRICHLOROETHYL DIHYDROGEN PHOSPHATE,,,,,,,,,,,
109-89-7, DIETHYLAMINE,,,,,,,175.105,177.246,177.26,,,,,,,,,,,,,,,,,,,,, DIETHYLAMINE,,,,,,,,,,,,,,,,,,,
4130-42-1," 2,6-DI-TERT-BUTYL-4-ETHYLPHENOL",,,,,,,178.201,,,,,,,,,,,,,,,,,,,,,,," 2,6-DI-TERT-BUTYL-4-ETHYLPHENOL"," PHENOL, 2,6-BIS(1,1-DIMETHYLETHYL)-4-ETHYL-"," PHENOL, 2,6-DI-TERT-BUTYL-4-ETHYL-"," 2,6-BIS(1,1-DIMETHYLETHYL)-4-ETHYLPHENOL",,,,,,,,,,,,,,,,
67-56-1, METHYL ALCOHOL,73.345,73.615,,,,,172.56,172.859,172.867,173.25,173.385,175.105,175.3,176.18,176.2,176.21,177.12,177.242,177.246,177.28,,,,,,,,,, METHANOL, WOOD NAPHTHA, CARBINOL, WOOD ALCOHOL,,,,,,,,,,,,,,,,
124-04-9, ADIPIC ACID,,,,,,,175.3,175.32,176.17,176.18,177.12,177.139,177.15,177.163,177.168,177.242,177.26,184.1009,,,,,,,,,,,, ADIPIC ACID, HEXANEDIOIC ACID," 1,4-BUTANEDICARBOXYLIC ACID",,,,,,,,,,,,,,,,,
129-00-0, PYRENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, PYRENE, BETA-PYRENE, BENZO(DEF)PHENANTHRENE,,,,,,,,,,,,,,,,,
141-43-5, MONOETHANOLAMINE,,,,,,,173.315,175.105,176.18,176.21,176.3,178.312,,,,,,,,,,,,,,,,,, MONOETHANOLAMINE, GLYCINOL (MONOETHANOLAMINE), 2-AMINOETHANOL, COLAMINE," ETHANOL, 2-AMINO-", BETA-AMINOETHYL ALCOHOL, 2-HYDROXYETHYLAMINE,,,,,,,,,,,,,
